Bank Soal;A;B;C;D;kunci;Difficulty;Tipe Soal;Kategori
Kesalahan penulisan abjad besar terdapat pada kalimat...;Dea mengajar di sekolah dua kali seminggu.;Paman suka membaca surat kabar Analisa.;Ayah membeli pisang Ambon untuk kakek.;Siang ini Banu akan bertemu dengan Tika.;C;2;PG4;Huruf Kapital
Perhatikan kalimat-kalimat berikut! (A)    Pisang ambon bukanlah pisang yang berasal dari Ambon. (B)    Di Kalimantan terdapat Suku Dayak yang masih memegang teguh budaya leluhurnya. (C)    Orang dari Timur Tengah itu pandai menggunakan Bahasa Jawa. (D)    Taman itu ditanami bunga mawar, melati, dan tulip. @Kalimat yang menggunakan huruf kapital secara tepat adalah kalimat berhuruf ...;A dan B;A dan D;B dan C;C dan D;B;2;PG4;Huruf Kapital
Andi membaca novel orang-orang proyek karya ahmad tohari. @Perbaikan penggunaan huruf kapital dalam kalimat di atas yang tepat adalah ...;Andi membaca novel Orang-Orang Proyek karya Ahmad Tohari.;Andi membaca novel Orang-orang Proyek karya Ahmad Tohari.;Andi membaca novel orang-orang proyek karya Ahmad Tohari.;Andi membaca novel Orang-orang Proyek karya Ahmad tohari.;A;2;PG4;Huruf Kapital
Aku lahir pada hari jumat di kota solo. @Perbaikan penggunaan huruf kapital dalam kalimat di atas yang tepat adalah ...;Aku lahir pada Hari Jumat di Kota Solo.;Aku lahir pada hari jumat di Kota Solo.;Aku lahir pada hari jumat di kota solo.;Aku lahir pada hari Jumat di Kota Solo.;D;2;PG4;Huruf Kapital
Kalimat berikut yang menggunakan huruf kapital secara tepat adalah ...;Pak Amir menjelaskan sejarah terjadinya perang Badar.;Pak Amir menjelaskan sejarah terjadinya perang badar.;Pak Amir menjelaskan sejarah terjadinya Perang Badar.;Pak Amir menjelaskan Sejarah terjadinya Perang Badar.;C;2;PG4;Huruf Kapital
Kalimat yang penulisannya sesuai dengan fungsi huruf kapital secara benar adalah ....;Aku percaya kepada Tuhan Yang Mahaesa;Rizki memeluk komodo di Pulau Komodo;Umat Agama Islam beribadah di Masjid;Jeruk bali bukan berasal dari bali;B;2;PG4;Huruf Kapital
Kalimat yang penulisannya sesuai dengan fungsi huruf kapital secara benar adalah ....;Aku lahir pada Hari Rabu;Dia keturunan bangsa Spanyol;Aku baru saja bertemu presiden Jokowi;Aku suka makan jeruk Bali;B;2;PG4;Huruf Kapital
Setelah makan gula jawa, dino membaca buku bahasa inggris. @Perbaikan penggunaan huruf kapital pada kalimat di atas adalah ....;Setelah makan gula Jawa, Dino membaca buku bahasa Inggris;Setelah makan gula jawa, Dino membaca buku Bahasa Inggris;Setelah makan gula jawa, Dino membaca buku bahasa Inggris;Setelah makan Gula Jawa, Dino memabca buku Bahasa Inggris;C;2;PG4;Huruf Kapital
Kalimat berikut yang menggunakan huruf kapital secara tepat adalah ....;Pak Presiden mengucapkan syukur kepada Tuhan Yang Mahakuasa;Pak Presiden mengucapkan syukur kepada Tuhan yang Maha Kuasa;Pak Presiden mengucapkan syukur kepada Tuhan Yang Maha Kuasa;Pak Presiden mengucapkan syukur kepada Tuhan yang Mahakuasa;C;2;PG4;Huruf Kapital
Anak dari suku asmat itu hidup di lembah baliem. @Perbaikan huruf kapital untuk kalimat di atas adalah ....;Anak dari suku Asmat itu hidup di lembah Baliem;Anak dari Suku Asmat itu hidup di Lembah Baliem;Anak dari suku Asmat itu hidup di Lembah Baliem;Anak dari Suku Asmat itu hidup di lembah Baliem;C;2;PG4;Huruf Kapital
Penggunaan huruf kapital yang tepat terdapat di kalimat ....;Kita harus percaya kepada Tuhan Yang Maha Kuasa;Orang Jawa suka sekali makan gula Jawa.;Aku lahir pada Hari Jumat Kliwon;Dina sedang mempelajari sejarah terjadinya perang Badar;A;2;PG4;Huruf Kapital
orang bangsa romawi yang sedang makan bika ambon itu memeluk agama islam. @Perbaikan kalimat di atas agar sesuai dengan penggunaan huruf kapital yang benar adalah ....;Orang Bangsa Romawi yang sedang makan bika ambon itu memeluk Agama Islam;Orang bangsa Romawi yang sedang makan bika Ambon itu memeluk agama Islam;Orang bangsa Romawi yang sedang makan bika ambon itu memeluk agama Islam;Orang Bangsa Romawi yang sedang makan bika ambon itu memeluk agama Islam;C;2;PG4;Huruf Kapital
Penggunaan huruf kapital yang benar terdapat di kalimat ....;Perayaan peringatan hari Waisak berlangsung secara lancar.;Perayaan peringatan hari waisak berlangsung secara lancar.;Perayaan peringatan Hari Waisak berlangsung secara lancar.;Perayaan Peringatan hari Waisak berlangsung secara lancar.;A;2;PG4;Huruf Kapital
Perhatikan kalimat-kalimat berikut! I.    Aku suka sekali makan masakan Padang. II.    Ayahku membeli ukiran jepara. III.    Ibuku membeli bika ambon di Medan. IV.    Pamanku menjual gula Jawa.  @Kalimat yang menggunakan huruf kapital secara tepat ditandai nomor ....;I dan II;I dan III;I, II, dan III;I, III, dan IV;B;2;PG4;Huruf Kapital
Kalimat berikut yang menggunakan huruf kapital secara tepat adalah ....;Ia sudah menjadi profesor selama 10 tahun.;Penghargaan itu diberikan oleh presiden Jokowi.;Adikku bercita-cita menjadi seorang Menteri.;Negara berbentuk Republik dipimpin oleh seorang Presiden.;A;2;PG4;Huruf Kapital
setelah berlibur di pantai,aku akan naik gunung lawu. @Perbaikan penggunaan huruf kapital kalimat di atas adalah ....;Setelah berlibur di Pantai, aku akan naik gunung Lawu.;Setelah berlibur di pantai, aku akan naik gunung Lawu.;Setelah berlibur di pantai, aku akan naik Gunung Lawu.;Setelah berlibur di Pantai, aku akan naik Gunung Lawu.;C;2;PG4;Huruf Kapital
peringatan hari pahlawan dilaksanakan di bulan november. @Perbaikan penggunaan huruf kapital kalimat di atas adalah ....;Peringatan Hari Pahlawan dilaksanakan di Bulan November;Peringatan Hari Pahlawan dilaksanakan di bulan November;Peringatan hari pahlawan dilaksanakan di bulan November;Peringatan Hari Pahlawan dilaksanakan di bulan November;B;2;PG4;Huruf Kapital
Jawa Tengah adalah salah satu Provinsi di Pulau Jawa. Pada tahun 2022, provinsi ini dipimpin oleh gubernur yang bernama Ganjar pranowo. Provinsi ini berbatasan langsung dengan Jawa Barat, Jawa Timur, dan Daerah Istimewa Yogyakarta. Sebelah Utara Jawa Tengah terdapat Laut Jawa.@Kalimat yang menggunakan huruf kapital secara tepat adalah kalimat ....;pertama;kedua;ketiga;keempat;C;2;PG4;Huruf Kapital
Keanekaragaman dimiliki Bangsa Indonesia. Ada bermacam suku, agama, dan bahasa di Negeri ini. Di Pulau Jawa ada suku Jawa, Sunda, Betawi, dan lain-lain. Berbagai agama seperti Agama Islam, Hindu, Kristen, Katolik, Budha, dan Konghucu menyebar di seluruh wilayah Indonesia. @Kalimat yang menggunakan huruf kapital dengan benar dalam paragraf di atas adalah kalimat ....;pertama;kedua;ketiga;keempat;C;2;PG4;Huruf Kapital
Telaga Sarangan adalah sebuah telaga alami yang terletak di kaki gunung Lawu, di Kecamatan Plaosan, Kabupaten Magetan, Jawa Timur. Telaga ini berjarak sekitar 16 kilometer arah barat Kota Magetan. Telaga ini luasnya sekitar 30 hektare dan berkedalaman kurang lebih 28 meter. Telaga Sarangan menjadi objek wisata yang paling diandalkan di Kabupaten Magetan. @Kesalahan penggunaan huruf kapital terdapat di kalimat ....;pertama;kedua;ketiga;keempat;A;2;PG4;Huruf Kapital
Selamat, Apa pun teks yang kamu susun adalah hasil karya sendiri. @Perbaikan penggunaan tanda baca pada kalimat tersebut adalah...;Selamat, Apa pun teks yang kamu susun adalah hasil karya sendiri!;Selamat! Apa pun teks yang kamu susun adalah hasil karya sendiri!;Selamat! Apa pun teks yang kamu susun adalah hasil karya sendiri.;Selamat: Apa pun teks yang kamu susun adalah hasil karya sendiri.;C;2;PG4;Tanda Baca
Berikut adalah penerapan atau fungsi tanda titik, kecuali ....;Mengakhiri kalimat yang bukan pertanyaan atau seruan;Memisahkan angka, jam, menit, dan detik untuk menunjukkan waktu;Diletakkan pada final kependekan nama atau gelar;Memisahkan anak kalimat yang melampaui induk kalimat;D;2;PG4;Tanda Baca
Pemakaian tanda baca yang benar terdapat pada kalimat ....;Karena sedih, adik menangis di kamarnya.;Adik dan abang belum pulang, walaupun sudah malam.;Ibu membeli nasi, jus, pisang dan jeruk.;Murid, dan guru sedang mengikuti upacara bendera.;A;2;PG4;Tanda Baca
Penggunaan tanda baca yang tepat adalah pada kalimat ....;Nanda berkata hari ini kita ulangan Bahasa Indonesia.;Hari ini kita ulangan Bahasa Indonesia. kata Nanda.;Hari ini kita ulangan Bahasa Indonesia. kata Nanda;"Hari ini kita ulangan Bahasa Indonesia. ""kata Nanda""";B;2;PG4;Tanda Baca
Kalimat di bawah ini yang menerapkan kaidah penggunaan tanda baca yang tepat adalah ____;Dianda-anak pertama Pak Pratama-telah berhasil menempuh pendidikan doktorat di Australia;Parasetamol biasanya digunakan untuk mengobati penyakit-penyakit di bawah ini: sakit kepala. demam, dan influensa;DVD - ku dan sejumlah barang berharga dicuri oleh orang yang tak dikenal ketika aku terlelap dan lupa menutup pintu depan.;Sejumlah uang 10.000 an akan ku berikan kepada para pengemis jalanan itu supaya mereka bisa makan.;B;2;PG4;Tanda Baca
Kalimat di bawah ini yang tidak menggunakan tanda baca yang tepat adalah ____;Para siswa harus membawa peralatan-peralatan ini sebelum berkemah: di antaranya, pisau belati, tambah atau tali sepanjang dua meter, dan tikar.;Pada pukul 13.00-15.00, rapat koordinasi antara komite sekolah dan orang tua siswa akan diselenggarakan.;Aceh - provinsi yang terkenal dengan sebutan serambi Mekahnya - ternyata memiliki tari paling rumit yang pernah dimainkan, yaitu tari Saman. ;Jika SIM-mu belum diperpanjang dalam seminggu ini, kamu harus membuat SIM baru di Polres atau Polwiltabes. ;A;2;PG4;Tanda Baca
Pemakaian tanda baca yang benar terdapat pada kalimat .... ;Karena sedih, adik menangis di kamarnya.;Adik dan abang belum pulang, walaupun sudah malam.;Ibu membeli nasi, jus, pisang dan jeruk.;Murid, dan guru sedang mengikuti upacara bendera.;A;2;PG4;Tanda Baca
Berikut ialah pemakaian abjad miring atau garis bawah yang benar, kecuali ....;Menuliskan nama ilmiah;Menuliskan ungkapan asing;Menuliskan nama atau judul buku yang dikuti dalam karangan;Nama instansi atau lembaga;D;2;PG4;Tanda Baca
Berikut pola penerapan tanda koma yang tepat, kecuali ....;Oleh alasannya itu, ita harus berhati-hati.;Jadi, kita akan pergi menggunakan bus.;Meskipun begitu, Rina tetap saja marah.;Dian tidak suka padamu, alasannya sifatmu yang cuek.;D;2;PG4;Tanda Baca
(1) Keluarga Ervina sangat menggemari makanan laut. (2) Hari Minggu, Ervina menemani ibunya ke pasar. (3) Mereka membeli udang, kepiting, cumi-cumi dan ikan. @Penggunaan tanda baca pada kalimat ketiga teks tersebut salah karena ....;tanda baca hubung (-) tidak diperlukan;terdapat tanda baca koma (,) setelah kepiting; seharusnya terdapat tanda baca koma (,) setelah cumi-cumi;seharusnya terdapat tanda baca titik dua (:) setelah membeli;C;2;PG4;Tanda Baca
Harga telur ayam sedang naik. Sekarang harganya mencapai Rp28.000,- per kilogram. Sementara itu, harga kebutuhan pokok lain justru harganya turun. Cabai, gula, dan beras adalah contoh barang kebutuhan pokok yang turun harganya. @Kesalahan penggunaan tanda baca terdapat di kalimat ....;pertama;kedua;ketiga;keempat;B;3;PG4;Tanda Baca
Ibu membeli buah-buahan, seperti : apel, melon, dan jeruk. @Kesalahan penggunaan tanda baca dalam kalimat di atas adalah ....;"tanda koma sebelum kata ""seperti""";"tanda titik dua setelah kata ""seperti""";"tanda koma sebelum kata ""dan""";tanda titik di akhir kalimat;B;2;PG4;Tanda Baca
Kesalahan penggunaan tanda baca terdapat di kalimat ....;Namun, mereka selalu semangat dalam menghadapi rintangan.;Dia ingin makan, tetapi gusinya sakit.;Tutuplah pintu itu!;Wah! dia memang sangat hebat.;D;2;PG4;Tanda Baca
Aku tidak tahu mengenai masalah itu. katanya. Namun, aku tahu sebenarnya ia sedang berbohong. Mungkin dia terpaksa menutupi masalah itu, karena ingin membela saudaranya. Meskipun demikian, sebenarnya ia tidak perlu berbohong kepadaku. @Kesalahan penggunaan tanda baca terdapat di kalimat ....;1;2;3;4;C;3;PG4;Tanda Baca
"Sifa diajak kakaknya berjalan-jalan ke bazar buku. Dia tertarik dengan buku-buku cerita yang dipajang di stan paling depan. ""Berapa harga buku di sini, Paman?"" tanya Sifa. ""Harga buku di sini paling mahal Rp.10,000.00, Nak."" jawab penjaga stan. ""Wah, murah sekali!"" seru Sifa kegirangan. @Penggunaan tanda baca yang tepat pada kalimat di atas adalah ...";Harga buku di sini paling mahal Rp.10.000,00, Nak! jawab penjaga stan.;Harga buku di sini paling mahal Rp.10.000,00, Nak.jawab penjaga stan.;Harga,buku di sini paling mahal Rp10.000,00, Nak. jawab penjaga stan.;Harga buku di sini paling mahal Rp10.000,00, Nak. jawab penjaga stan.;D;3;PG4;Tanda Baca
Agar dapat mengikuti pembelajaran dengan baik [...] tiap siswa membawa keperluan sekolah. Alat tulis [...] bolpoin[...] pensil, dan penghapus harus dibawa. Buku [...] buku pelajaran dibawa sesuai dengan jadwalnya. Buku tulis untuk mencatat materi maupun tugas juga harus dibawa. @Penulisan tanda baca yang tepat pada paragraf tersebut berturut-turut adalah ....;[,], [,], [,], [:];[:], [:], [,], [,];[:], [,], [,], [-];[,], [:], [,], [-];D;3;PG4;Tanda Baca
Wah! kamu memang hebat dalam menghitung, Rin? seru Ananda. @Kesalahan penggunaan tanda baca pada kalimat tersebut secara berurutan adalah ...;tanda seru (!) dan tanda tanya (?);tanda seru (!) dan tanda koma (,);tanda koma (,) dan tanda tanya (?);"tanda koma (,) dan tanda petik ("")";A;3;PG4;Tanda Baca
"Nadifa berkata: ""Wow, indah sekali pemandangan di sini?""@Kesalahan penggunaan tanda baca pada kalimat tersebut secara berurutan adalah ...";tanda koma (,) dan tanda tanya (?);"tanda koma (,) dan tanda petik ("")";tanda titik dua (:) dan tanda tanya (?);"tanda titik dua (:) dan tanda petik ("")";C;3;PG4;Tanda Baca
"Pak Budi menyampaikan bahwa hari Senin akan diadakan ulangan harian. Mendengar hal tersebut, beberapa siswa terlihat gugup. Toni terlihat tenang karena merasa siap! Dia berkata dalam hati, ""Saya pasti mendapat nilai seratus.""@Kesalahan penggunaan tanda baca pada paragraf terdapat pada kalimat ...";Pak Budi menyampaikan bahwa hari Senin akan diadakan ulangan harian.;Mendengar hal tersebut, beberapa siswa terlihat gugup.;Toni terlihat tenang karena merasa siap!;"Dia berkata dalam hati, ""Saya pasti mendapat nilai seratus.""";C;3;PG4;Tanda Baca
Pemakaian tanda garis miring (/) yang benar terdapat pada ....;No. 8/DA/3009 Jalan / BatuaIX/37 Tahun anggaran 2011/2012;Siswa//siswi;Harganya Rp. 88.800,00 /kodi;Ibu/Bapak;A;3;PG4;Tanda Baca
Pemakaian tanda hubung (-) yang benar terdapat pada ...;Malang- Surabaya;Surabaya-Malang;Malang - Surabaya;Surabaya -Malang;B;3;PG4;Tanda Baca
Kalimat di bawah ini yang penerapan tanda bacanya benar ialah ....;David, membawakan majalah untuk Kartika.;A. Nasution ialah anakdidik yang rajin.;Dewi tidak hadir, alasannya berada di luar kota.;Temanku Lina masuk rumah sakit candra.;B;2;PG4;Tanda Baca
Penulisan kalimat di bawah yang benar adalah;Harga buku latihan soal CPNS ini adalah Rp. 15.000.000, Dik, jawab kasir.;Harga buku latihan soal CPNS ini adalah Rp. 15.000.000, Dik! jawab kasir.;Harga buku latihan soal CPNS ini adalah Rp. 15.000.000, Dik. jawab kasir.;Harga buku latihan soal CNPS ini adalah RP 15.000.000,Dik, jawab kasir.;C;2;PG4;Tanda Baca
Harga buku itu di jual dengan harga;Rp 2200.000;Rp 2.200.000;RP 22.000.00;RP 2.200000;B;2;PG4;Tanda Baca
Penggunaan kata baku ditunjukkan dengan kalimat ....;Makanan itu sudah kadaluarsa.;Makanan itu sudah kadaluwarsa.;Makanan itu sudah kedaluwarsa.;Makanan itu sudah kedaluarsa.;C;2;PG4;Kata Baku
Silahkan membeli obat di apotek itu karena persediaan obatnya sangat komplit.@Daftar kata berikut yang semuanya baku adalah ....;silahkan, apotek, komplit;silahkan, apotek, persediaan;obat, apotek, komplit;obat, apotek, persediaan;D;2;PG4;Kata Baku
Berikut yang termasuk kata baku adalah ....;sirup;sirop;syrop;syrup;B;2;PG4;Kata Baku
Perhatikan kalimat-kalimat berikut! 1)    Para siswa sudah mendapatkan ijazah masing-masing. 2)    Pemilu harus mengutamakan asas keterbukaan. 3)    Siswa harus berfikir kritis. 4)    Siswa itu lahir di bulan Pebruari. @Kalimat yang semua katanya menggunakan kata baku adalah ....;1 dan 2;1 dan 3;2 dan 3;2 dan 4;A;3;PG4;Kata Baku
Kata berikut yang penulisannya baku adalah ....;fotosintesa;kalendar;selebriti;hafal;D;2;PG4;Kata Baku
Kalimat berikut yang semua katanya adalah kata baku adalah ....;Tim lawan menyerang secara efektiv.;Tim lawan menyerang secara evektiv.;Tim lawan menyerang secara efektif.;Tim lawan menyerang secara evektif.;C;2;PG4;Kata Baku
Perhatikan daftar kata berikut! 1)    imbau 2)    handal 3)    utang 4)    hempas @Kata baku ditunjukkan nomor ....;1 dan 3;1 dan 4;2 dan 3;2 dan 4;A;2;PG4;Kata Baku
Kata-kata berikut yang termasuk kata baku adalah ....;sportifitas, isteri, junior;sportivitas, istri, yunior;sportifitas, istri, yunior;sportivitas, istri, junior;D;2;PG4;Kata Baku
Pimpinan perusahaan itu merubah cara kerja di kantornya. Ia melakukan itu setelah mendapat nasihat dari rekan bisnisnya. Ia menghapus sistem lembur yang sebelumnya dinilai kurang berpihak kepada karyawan. Kebijakan itu direspons sangat baik oleh para karyawannya.@Kata yang tidak baku terdapat di kalimat ....;pertama;kedua;ketiga;keempat;A;3;PG4;Kata Baku
Perhatikan kalimat-kalimat berikut! 1)    Simaklah penjelasan narasumber secara saksama! 2)    Jangan hanya sekadar memberi peringatan, tetapi berilah contohnya! 3)    Kita harus mengikuti perkembangan jaman. 4)    Propinsi dipimpin oleh seorang gubernur. @Kalimat yang semua katanya menggunakan kata baku adalah ....;1 dan 2;1 dan 3;2 dan 3;3 dan 4;A;3;PG4;Kata Baku
Polisi menganalisa kematian dengan cara autopsi jenasah.@Perbaikan kata tidak baku dalam kalimat di atas adalah ....;menganalisa menjadi menganalisis dan autopsi menjadi otopsi;menganalisa menjadi menganalisis dan autopsi menjadi autopsy;menganalisa menjadi menganalisis dan jenasah menjadi jenazah;autopsi menjadi otopsi dan jenasah menjadi jenazah;C;2;PG4;Kata Baku
Nama bulan berikut yang ditulis menggunakan kata baku adalah ....;January;Pebruari;Nopember;Desember;D;2;PG4;Kata Baku
Perhatikan kalimat-kalimat berikut! 1)    Presiden akan dibantu oleh para mentri. 2)    Pembangunan kantor itu membutuhkan dana 10 milyar. 3)    Bulan depan akan diadakan kongres di Jakarta. 4)    Ia sudah meminta izin kepada atasannya. @Pernyataan berikut yang tepat adalah ....;kalimat 1) dan 2) mengandung kata tidak baku;kalimat 2) dan 3) mengandung kata tidak baku;kalimat 3) dan 4) mengandung kata tidak baku;kalimat 1) dan 4) mengandung kata tidak baku;A;3;PG4;Kata Baku
Kalimat yang disusun dengan menggunakan kata baku adalah ....;Aku sangat bangga dengan merk dalam negeri. ;Anak itu bercita-cita menjadi astronaut.;Mereka akan pergi ke Malang menggunakan bis.;Dia sesak nafas karena menghisap rokok.;B;2;PG4;Kata Baku
Berikut yang termasuk kata baku adalah .... ;kuatir;kawatir;kuwatir;khawatir;D;2;PG4;Kata Baku
Kumpulan kata yang semuanya baku adalah ....;menyontek, risiko, faham;menyontek, risiko, paham;mencontek, resiko, faham;mencontek, resiko, paham;B;2;PG4;Kata Baku
Bentuk baku kata pesona yang mendapat awalan me- adalah ....;memesona;mepesona;mempesona;mengpesona;A;2;PG4;Kata Baku
Kemarin, Bu Guru baru saja mengadakan penilaian harian. Jadwal pelaksnaan penilaian harian sudah diberitahukan sebelumnya. Semua siswa mengikuti penilaian itu dengan baik. Setelah selesai mengerjakan soal, siswa mencocokkan jawaban dengan dipandu Bu Guru. Setelah dianalisa, ternyata ada 5 anak yang nilainya di bawah standar. @Perbaikan kata tidak baku dalam paragraf di atas adalah ....;"kata ""jadwal"" seharusnya ditulis ""jadual""";"kata ""mencocokkan"" seharusnya ditulis ""mencocokan""";"kata ""dianalisa"" seharusnya ditulis ""dianalisis"".";"kata ""standar"" seharusnya ditulis ""standard""";C;3;PG4;Kata Baku
Perhatikan paragraf berikut!Sebagai seorang atlet, pemain sepak bola harus menjunjung tinggi sportifitas. Banyak pemain yang cidera parah akibat ulah pemain yang kurang bertanggung jawab. Sikap menghargai lawan adalah hal yang harus dilakukan oleh setiap pemain sepak bola. @Jumlah kata tidak baku dalam paragraf di atas adalah ....;1;2;3;4;B;3;PG4;Kata Baku
Pilihlah kata baku yang benar:;abjad;abjat;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;akte;akta;;;B;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;aktivitas;aktifitas;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;akidah;aqidah;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;amfibi;amphibi;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;andal;handal;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;analisis;analisa;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;antre;antri;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;apotek;apotik;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;asas;azaz;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;atlet;atlit;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;atmosfer;atmosfir;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;azan;adzan;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;belum;belom;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;bengep;bengap;;;B;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;besok;esok;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;biosfer;biosfir;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;blanko;blangko;;;B;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;cabai;cabe;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;cendekiawan;cendikiawan;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;daftar;daptar;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;dekoratif;dekoratip;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;dekret;dekrit;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;detail;detil;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;diagnosis;diagnosa;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;efektif;efektip;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;efektifitas;efektivitas;;;B;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;ekstra;extra;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;elite;elit;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;embus;hembus;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;februari;pebruari;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;fondasi;pondasi;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;formal;formil;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;foto;photo;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;frekuensi;frekwensi;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;gizi;gisi;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;gladi;geladi;;;B;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;gubuk;gubug;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;hadis;hadist;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;hafal;hapal;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;hakikat;hakekat;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;hierarki;hirarki;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;hipotesis;hipotesa;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;ijazah;ijasah;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;imaginasi;imajinasi;;;B;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;imbau;himbau;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;indera;indra;;;B;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;insaf;insyaf;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;isap;hisap;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;istri;isteri;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;izin;ijin;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;jadwal;jadual;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;jenazah;jenasah;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;jenderal;jendral;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;justru;justeru;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;karena;karna;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;karier;karir;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;karisma;kharisma;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;kategori;katagori;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;komoditi;komoditas;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;komplet;komplit;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;kreatif;kreatip;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;kualitas;kwalitas;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;kuitansi;kwitansi;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;lembap;lembab;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;lubang;lobang;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;makhluk;mahluk;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;masjid;mesjid;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;metode;metoda;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;menyolok;mencolok;;;B;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;miliar;milyar;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;nampak;tampak;;;B;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;napas;nafas;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;nasihat;nasehat;;;B;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;negatif;negatip;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;negeri;negri;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;nomor;nomer;;;A;1;PG2;Kata Baku
Pilihlah kata baku yang benar:;november;nopember;;;A;1;PG2;Kata Baku
Kakak mempelajari bahasa Korea selama tiga tahun. @Kalimat berikut yang sepola dengan kalimat di atas adalah... ;Paman berdagang buah-buahan di pasar ;Mereka berdoa dengan khusyuk ;Orang itu minum kopi tadi malam ;Anak itu menangis di pangkuan ibunya;C;2;PG4;Struktur Kalimat
Kalimat berikut yang berpola S-P adalah.. ;Saya sedang belajar. ;Ana mendapat IPK tertinggi. ;Saya tinggal di Pringsewu. ;Kami berangkat besok pagi.;A;2;PG4;Struktur Kalimat
